11949,603510,52,2,0,0,0,0,27,2,0,0,0,0,0,35,0,0,0,0,0,0,18,0,0,0,0,0,0,9,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1
11950,631261,52,2,0,0,0,0,19,2,0,0,0,0,0,42,0,0,0,0,0,0,20,0,0,0,0,0,0,13,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1
11951,645144,52,2,0,0,0,0,27,2,0,0,0,0,0,35,0,0,0,0,0,0,18,0,0,0,0,0,0,9,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1
11952,672895,52,2,0,0,0,0,19,2,0,0,0,0,0,42,0,0,0,0,0,0,20,0,0,0,0,0,0,13,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1
11953,679830,117,37,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,5,1
11954,700454,233,50,0,2,0,4,0,0,0,0,0,60,6,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,5,1
11980,693440,361,50,0,2,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,5,1
11981,659022,52,2,0,0,0,0,27,2,0,0,0,0,0,35,0,0,0,0,0,0,18,0,0,0,0,0,0,9,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1
11982,659030,39,1,0,0,0,0,32,2,0,0,0,0,0,35,0,0,0,0,0,0,19,0,0,0,0,0,0,9,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1
11983,686578,231,50,0,2,0,4,0,0,0,0,0,70,6,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,1
11984,603248,349,50,0,2,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,1
11985,672836,117,37,0,1,0,4,0,0,0,0,0,65,6,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,1
11986,603252,349,50,0,2,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,1
11987,610196,349,50,0,2,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,1
11988,638205,52,2,0,0,0,0,27,2,0,0,0,0,0,35,0,0,0,0,0,0,18,0,0,0,0,0,0,9,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1
